Num_Data,Electrode_ID,Material,M_Density,E_pH,E_Ionic_Conductivity,E_Bare_Cation_Radius,E_Bare_Anion_Radius,E_Cation_Radius,E_Anion_Radius,Is_Binder,Binder_Type,Current_Collector,CC_Electrical_Conductivity,CC_Thermal_Conductivity,CC_Work_Function,Potential_Window,Morphology_Encoded,Synthesis_Method,Current_Density,Specific_Capacitance
1,9,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,2,1,0.5,375.0
2,9,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,2,1,1.0,175.0
3,9,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,2,1,1.5,100.0
4,9,1,3.36,7,306.96,1.33,2.9,3.31,3.79,1,1,1,144.0,97.5,5.2,0.8,2,1,2.0,70.0
5,10,1,3.36,7,105.93,0.6,2.92,3.82,3.38,1,1,2,1.1,225.0,5.0,1.0,1,1,1.0,347.0
6,10,1,3.36,7,105.93,0.6,2.92,3.82,3.38,1,1,2,1.1,225.0,5.0,1.0,1,1,2.0,334.0
7,10,1,3.36,7,105.93,0.6,2.92,3.82,3.38,1,1,2,1.1,225.0,5.0,1.0,1,1,3.0,320.0
8,10,1,3.36,7,105.93,0.6,2.92,3.82,3.38,1,1,2,1.1,225.0,5.0,1.0,1,1,12.0,215.0
9,11,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.0,3,1,0.5,488.0
10,11,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.0,3,1,1.0,455.0
11,11,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.0,3,1,2.0,434.0
12,11,1,3.36,7,110.08,0.6,2.64,3.82,3.35,1,1,1,144.0,97.5,5.2,1.0,3,1,5.0,396.0
13,12,1,3.36,7,258.16,0.95,2.9,3.58,3.79,1,2,1,144.0,97.5,5.04,1.0,1,1,1.0,235.0
