,Model,Methodology,Metric,Mean,Std
0,DummyRegressor,trainTest,R2,-0.01,0
1,DummyRegressor,trainTest,MAE,227.6,0
2,DummyRegressor,trainTest,RMSE,338.89,0
3,DummyRegressor,trainTest_removed,R2,-0.02,0
4,DummyRegressor,trainTest_removed,MAE,126.51,0
5,DummyRegressor,trainTest_removed,RMSE,147.55,0
6,DummyRegressor,randomCV,R2,-0.04,0.03
7,DummyRegressor,randomCV,MAE,175.66,40.76
8,DummyRegressor,randomCV,RMSE,234.1,77.55
9,DummyRegressor,randomCV_removed,R2,-0.03,0.05
10,DummyRegressor,randomCV_removed,MAE,141.64,21.35
11,DummyRegressor,randomCV_removed,RMSE,166.86,26.11
12,DummyRegressor,groupedCV,R2,-0.51,1.08
13,DummyRegressor,groupedCV,MAE,174.5,74.81
14,DummyRegressor,groupedCV,RMSE,215.04,118.81
15,DummyRegressor,groupedCV_removed,R2,-0.34,0.6
16,DummyRegressor,groupedCV_removed,MAE,142.52,38.5
17,DummyRegressor,groupedCV_removed,RMSE,164.6,44.6
18,LinearRegression,trainTest,R2,0.69,0
19,LinearRegression,trainTest,MAE,132.05,0
20,LinearRegression,trainTest,RMSE,186.83,0
21,LinearRegression,trainTest_removed,R2,0.39,0
22,LinearRegression,trainTest_removed,MAE,88.87,0
23,LinearRegression,trainTest_removed,RMSE,113.92,0
24,LinearRegression,randomCV,R2,0.43,0.38
25,LinearRegression,randomCV,MAE,113.41,22.17
26,LinearRegression,randomCV,RMSE,149.67,33.79
27,LinearRegression,randomCV_removed,R2,0.48,0.17
28,LinearRegression,randomCV_removed,MAE,90.05,13.46
29,LinearRegression,randomCV_removed,RMSE,114.05,13.03
30,LinearRegression,groupedCV,R2,-0.36,1.08
31,LinearRegression,groupedCV,MAE,144.75,59.56
32,LinearRegression,groupedCV,RMSE,184.73,85.36
33,LinearRegression,groupedCV_removed,R2,0,0.81
34,LinearRegression,groupedCV_removed,MAE,100.44,27.89
35,LinearRegression,groupedCV_removed,RMSE,123.95,27.88
36,Ridge,trainTest,R2,0.69,0
37,Ridge,trainTest,MAE,134.19,0
38,Ridge,trainTest,RMSE,189.11,0
39,Ridge,trainTest_removed,R2,0.39,0
40,Ridge,trainTest_removed,MAE,88.89,0
41,Ridge,trainTest_removed,RMSE,114.79,0
42,Ridge,randomCV,R2,0.43,0.35
43,Ridge,randomCV,MAE,113.47,21.91
44,Ridge,randomCV,RMSE,150.43,32.74
45,Ridge,randomCV_removed,R2,0.48,0.16
46,Ridge,randomCV_removed,MAE,90.26,12.15
47,Ridge,randomCV_removed,RMSE,113.89,12.76
48,Ridge,groupedCV,R2,-0.35,1.09
49,Ridge,groupedCV,MAE,144.04,59.56
50,Ridge,groupedCV,RMSE,184.53,88
51,Ridge,groupedCV_removed,R2,-0.01,0.91
52,Ridge,groupedCV_removed,MAE,100.51,27.36
53,Ridge,groupedCV_removed,RMSE,122.97,26.65
54,Lasso,trainTest,R2,0.69,0
55,Lasso,trainTest,MAE,132.48,0
56,Lasso,trainTest,RMSE,187.69,0
57,Lasso,trainTest_removed,R2,0.39,0
58,Lasso,trainTest_removed,MAE,88.23,0
59,Lasso,trainTest_removed,RMSE,114.04,0
60,Lasso,randomCV,R2,0.43,0.36
61,Lasso,randomCV,MAE,113.05,21.45
62,Lasso,randomCV,RMSE,149.75,33.02
63,Lasso,randomCV_removed,R2,0.48,0.16
64,Lasso,randomCV_removed,MAE,90.22,12.43
65,Lasso,randomCV_removed,RMSE,113.87,12.54
66,Lasso,groupedCV,R2,-0.33,1.04
67,Lasso,groupedCV,MAE,143.68,60.27
68,Lasso,groupedCV,RMSE,184.29,88.59
69,Lasso,groupedCV_removed,R2,0,0.88
70,Lasso,groupedCV_removed,MAE,100.55,28.04
71,Lasso,groupedCV_removed,RMSE,122.79,27.3
72,ElasticNet,trainTest,R2,0.4,0
73,ElasticNet,trainTest,MAE,169.3,0
74,ElasticNet,trainTest,RMSE,261.5,0
75,ElasticNet,trainTest_removed,R2,0.34,0
76,ElasticNet,trainTest_removed,MAE,92.53,0
77,ElasticNet,trainTest_removed,RMSE,119.27,0
78,ElasticNet,randomCV,R2,0.29,0.18
79,ElasticNet,randomCV,MAE,134.46,27.96
80,ElasticNet,randomCV,RMSE,187.99,52.01
81,ElasticNet,randomCV_removed,R2,0.36,0.09
82,ElasticNet,randomCV_removed,MAE,105.55,12.52
83,ElasticNet,randomCV_removed,RMSE,131.05,19.69
84,ElasticNet,groupedCV,R2,-0.48,1.44
85,ElasticNet,groupedCV,MAE,153.26,68.6
86,ElasticNet,groupedCV,RMSE,197.07,113.27
87,ElasticNet,groupedCV_removed,R2,-0.12,1.08
88,ElasticNet,groupedCV_removed,MAE,113.37,31.84
89,ElasticNet,groupedCV_removed,RMSE,138.32,38.65
90,SVR,trainTest,R2,-0.02,0
91,SVR,trainTest,MAE,215.73,0
92,SVR,trainTest,RMSE,340.88,0
93,SVR,trainTest_removed,R2,0.04,0
94,SVR,trainTest_removed,MAE,121.43,0
95,SVR,trainTest_removed,RMSE,143.77,0
96,SVR,randomCV,R2,-0.06,0.09
97,SVR,randomCV,MAE,169.14,37.76
98,SVR,randomCV,RMSE,236.64,80.86
99,SVR,randomCV_removed,R2,-0.04,0.1
100,SVR,randomCV_removed,MAE,136.35,17.79
101,SVR,randomCV_removed,RMSE,166.58,24.07
102,SVR,groupedCV,R2,-0.3,0.5
103,SVR,groupedCV,MAE,167.68,75.97
104,SVR,groupedCV,RMSE,211.87,126.35
105,SVR,groupedCV_removed,R2,-0.22,0.29
106,SVR,groupedCV_removed,MAE,137.64,43.56
107,SVR,groupedCV_removed,RMSE,163.08,51.92
