,Model,Methodology,Metric,Mean,Std
0,Ridge,trainTest,R2,0.69,0.0
1,Ridge,trainTest,MAE,133.48,0.0
2,Ridge,trainTest,RMSE,188.28,0.0
3,Ridge,trainTest_removed,R2,0.38,0.0
4,Ridge,trainTest_removed,MAE,89.0,0.0
5,Ridge,trainTest_removed,RMSE,115.04,0.0
6,Ridge,randomCV,R2,0.43,0.36
7,Ridge,randomCV,MAE,113.27,21.54
8,Ridge,randomCV,RMSE,150.27,32.57
9,Ridge,randomCV_removed,R2,0.48,0.17
10,Ridge,randomCV_removed,MAE,90.12,13.26
11,Ridge,randomCV_removed,RMSE,114.02,12.87
12,Ridge,groupedCV,R2,-0.46,1.01
13,Ridge,groupedCV,MAE,164.05,72.94
14,Ridge,groupedCV,RMSE,208.71,116.62
15,Ridge,groupedCV_removed,R2,-0.19,1.13
16,Ridge,groupedCV_removed,MAE,108.22,28.01
17,Ridge,groupedCV_removed,RMSE,136.4,29.25
18,Lasso,trainTest,R2,0.69,0.0
19,Lasso,trainTest,MAE,132.47,0.0
20,Lasso,trainTest,RMSE,187.69,0.0
21,Lasso,trainTest_removed,R2,0.39,0.0
22,Lasso,trainTest_removed,MAE,88.23,0.0
23,Lasso,trainTest_removed,RMSE,114.04,0.0
24,Lasso,randomCV,R2,0.43,0.36
25,Lasso,randomCV,MAE,112.98,21.48
26,Lasso,randomCV,RMSE,149.68,33.09
27,Lasso,randomCV_removed,R2,0.48,0.17
28,Lasso,randomCV_removed,MAE,89.91,13.09
29,Lasso,randomCV_removed,RMSE,113.88,12.98
30,Lasso,groupedCV,R2,-0.36,1.09
31,Lasso,groupedCV,MAE,144.59,60.95
32,Lasso,groupedCV,RMSE,185.36,89.44
33,Lasso,groupedCV_removed,R2,-0.0,0.88
34,Lasso,groupedCV_removed,MAE,100.54,28.03
35,Lasso,groupedCV_removed,RMSE,122.79,27.3
36,ElasticNet,trainTest,R2,0.69,0.0
37,ElasticNet,trainTest,MAE,133.47,0.0
38,ElasticNet,trainTest,RMSE,188.28,0.0
39,ElasticNet,trainTest_removed,R2,0.38,0.0
40,ElasticNet,trainTest_removed,MAE,89.04,0.0
41,ElasticNet,trainTest_removed,RMSE,115.14,0.0
42,ElasticNet,randomCV,R2,0.43,0.35
43,ElasticNet,randomCV,MAE,113.3,21.33
44,ElasticNet,randomCV,RMSE,150.6,32.24
45,ElasticNet,randomCV_removed,R2,0.48,0.17
46,ElasticNet,randomCV_removed,MAE,90.23,13.15
47,ElasticNet,randomCV_removed,RMSE,114.09,12.84
48,ElasticNet,groupedCV,R2,-0.44,1.02
49,ElasticNet,groupedCV,MAE,159.66,71.75
50,ElasticNet,groupedCV,RMSE,205.56,116.63
51,ElasticNet,groupedCV_removed,R2,-0.22,1.18
52,ElasticNet,groupedCV_removed,MAE,110.49,29.03
53,ElasticNet,groupedCV_removed,RMSE,138.29,30.98
54,SVR,trainTest,R2,0.79,0.0
55,SVR,trainTest,MAE,86.19,0.0
56,SVR,trainTest,RMSE,156.0,0.0
57,SVR,trainTest_removed,R2,0.48,0.0
58,SVR,trainTest_removed,MAE,73.86,0.0
59,SVR,trainTest_removed,RMSE,105.49,0.0
60,SVR,randomCV,R2,0.49,0.27
61,SVR,randomCV,MAE,97.82,28.1
62,SVR,randomCV,RMSE,149.52,49.06
63,SVR,randomCV_removed,R2,0.53,0.15
64,SVR,randomCV_removed,MAE,76.97,15.96
65,SVR,randomCV_removed,RMSE,110.99,25.7
66,SVR,groupedCV,R2,-0.32,1.46
67,SVR,groupedCV,MAE,142.62,79.39
68,SVR,groupedCV,RMSE,192.03,127.27
69,SVR,groupedCV_removed,R2,-0.31,1.09
70,SVR,groupedCV_removed,MAE,113.72,31.89
71,SVR,groupedCV_removed,RMSE,146.75,44.92
72,RandomForestRegressor,trainTest,R2,0.89,0.0
73,RandomForestRegressor,trainTest,MAE,80.93,0.0
74,RandomForestRegressor,trainTest,RMSE,114.15,0.0
75,RandomForestRegressor,trainTest_removed,R2,0.65,0.0
76,RandomForestRegressor,trainTest_removed,MAE,52.01,0.0
77,RandomForestRegressor,trainTest_removed,RMSE,86.59,0.0
78,RandomForestRegressor,randomCV,R2,0.82,0.1
79,RandomForestRegressor,randomCV,MAE,59.18,11.12
