,Model,Methodology,Metric,Mean,Std
0,VotingRegressor_0,trainTest,R2,0.89,0.0
1,VotingRegressor_0,trainTest,MAE,76.31,0.0
2,VotingRegressor_0,trainTest,RMSE,113.57,0.0
3,VotingRegressor_0,trainTest_removed,R2,0.69,0.0
4,VotingRegressor_0,trainTest_removed,MAE,53.69,0.0
5,VotingRegressor_0,trainTest_removed,RMSE,81.69,0.0
6,VotingRegressor_0,randomCV,R2,0.83,0.1
7,VotingRegressor_0,randomCV,MAE,59.62,8.55
8,VotingRegressor_0,randomCV,RMSE,82.43,15.07
9,VotingRegressor_0,randomCV_removed,R2,0.77,0.08
10,VotingRegressor_0,randomCV_removed,MAE,54.73,7.51
11,VotingRegressor_0,randomCV_removed,RMSE,75.95,11.1
12,VotingRegressor_0,groupedCV,R2,0.16,0.67
13,VotingRegressor_0,groupedCV,MAE,117.44,63.47
14,VotingRegressor_0,groupedCV,RMSE,153.63,100.64
15,VotingRegressor_0,groupedCV_removed,R2,0.46,0.22
16,VotingRegressor_0,groupedCV_removed,MAE,84.33,23.82
17,VotingRegressor_0,groupedCV_removed,RMSE,103.49,29.06
18,VotingRegressor_1,trainTest,R2,0.89,0.0
19,VotingRegressor_1,trainTest,MAE,76.52,0.0
20,VotingRegressor_1,trainTest,RMSE,113.68,0.0
21,VotingRegressor_1,trainTest_removed,R2,0.67,0.0
22,VotingRegressor_1,trainTest_removed,MAE,54.32,0.0
23,VotingRegressor_1,trainTest_removed,RMSE,83.9,0.0
24,VotingRegressor_1,randomCV,R2,0.84,0.09
25,VotingRegressor_1,randomCV,MAE,59.26,9.0
26,VotingRegressor_1,randomCV,RMSE,82.06,16.09
27,VotingRegressor_1,randomCV_removed,R2,0.79,0.1
28,VotingRegressor_1,randomCV_removed,MAE,51.17,9.96
29,VotingRegressor_1,randomCV_removed,RMSE,71.77,13.99
30,VotingRegressor_1,groupedCV,R2,0.13,0.81
31,VotingRegressor_1,groupedCV,MAE,115.85,57.66
32,VotingRegressor_1,groupedCV,RMSE,148.9,87.61
33,VotingRegressor_1,groupedCV_removed,R2,0.49,0.2
34,VotingRegressor_1,groupedCV_removed,MAE,82.9,24.71
35,VotingRegressor_1,groupedCV_removed,RMSE,101.54,30.71
