,Model,Methodology,Metric,Mean,Std
0,VotingRegressor_0,trainTest,R2,0.69,0.0
1,VotingRegressor_0,trainTest,MAE,122.42,0.0
2,VotingRegressor_0,trainTest,RMSE,186.65,0.0
3,VotingRegressor_0,trainTest_removed,R2,0.6,0.0
4,VotingRegressor_0,trainTest_removed,MAE,77.55,0.0
5,VotingRegressor_0,trainTest_removed,RMSE,92.71,0.0
6,VotingRegressor_0,randomCV,R2,0.64,0.1
7,VotingRegressor_0,randomCV,MAE,96.13,14.19
8,VotingRegressor_0,randomCV,RMSE,132.09,34.07
9,VotingRegressor_0,randomCV_removed,R2,0.62,0.08
10,VotingRegressor_0,randomCV_removed,MAE,80.9,11.13
11,VotingRegressor_0,randomCV_removed,RMSE,100.26,16.3
12,VotingRegressor_0,groupedCV,R2,0.27,0.32
13,VotingRegressor_0,groupedCV,MAE,122.95,65.63
14,VotingRegressor_0,groupedCV,RMSE,157.66,107.46
15,VotingRegressor_0,groupedCV_removed,R2,0.31,0.3
16,VotingRegressor_0,groupedCV_removed,MAE,96.61,28.24
17,VotingRegressor_0,groupedCV_removed,RMSE,115.71,31.69
18,VotingRegressor_1,trainTest,R2,0.88,0.0
19,VotingRegressor_1,trainTest,MAE,87.52,0.0
20,VotingRegressor_1,trainTest,RMSE,119.2,0.0
21,VotingRegressor_1,trainTest_removed,R2,0.69,0.0
22,VotingRegressor_1,trainTest_removed,MAE,55.89,0.0
23,VotingRegressor_1,trainTest_removed,RMSE,81.12,0.0
24,VotingRegressor_1,randomCV,R2,0.81,0.11
25,VotingRegressor_1,randomCV,MAE,66.04,12.61
26,VotingRegressor_1,randomCV,RMSE,88.88,18.0
27,VotingRegressor_1,randomCV_removed,R2,0.76,0.09
28,VotingRegressor_1,randomCV_removed,MAE,57.91,9.93
29,VotingRegressor_1,randomCV_removed,RMSE,77.44,13.19
30,VotingRegressor_1,groupedCV,R2,0.28,0.44
31,VotingRegressor_1,groupedCV,MAE,111.29,60.85
32,VotingRegressor_1,groupedCV,RMSE,147.5,96.38
33,VotingRegressor_1,groupedCV_removed,R2,0.43,0.3
34,VotingRegressor_1,groupedCV_removed,MAE,84.36,28.23
35,VotingRegressor_1,groupedCV_removed,RMSE,104.21,30.24
