,Model,Methodology,Metric,Mean,Std
0,LinearRegression,trainTest,R2,0.6,0
1,LinearRegression,trainTest,MAE,122.72,0
2,LinearRegression,trainTest,RMSE,178.46,0
3,LinearRegression,trainTest_removed,R2,0.49,0
4,LinearRegression,trainTest_removed,MAE,105.41,0
5,LinearRegression,trainTest_removed,RMSE,128.73,0
6,LinearRegression,randomCV,R2,0.43,0.38
7,LinearRegression,randomCV,MAE,113.41,22.17
8,LinearRegression,randomCV,RMSE,149.67,33.79
9,LinearRegression,randomCV_removed,R2,0.48,0.17
10,LinearRegression,randomCV_removed,MAE,90.05,13.46
11,LinearRegression,randomCV_removed,RMSE,114.05,13.03
12,LinearRegression,groupedCV,R2,-0.36,1.08
13,LinearRegression,groupedCV,MAE,144.75,59.56
14,LinearRegression,groupedCV,RMSE,184.73,85.36
15,LinearRegression,groupedCV_removed,R2,0,0.81
16,LinearRegression,groupedCV_removed,MAE,100.44,27.89
17,LinearRegression,groupedCV_removed,RMSE,123.95,27.88
18,Ridge,trainTest,R2,0.6,0
19,Ridge,trainTest,MAE,121.96,0
20,Ridge,trainTest,RMSE,178.75,0
21,Ridge,trainTest_removed,R2,0.5,0
22,Ridge,trainTest_removed,MAE,105.02,0
23,Ridge,trainTest_removed,RMSE,127.66,0
24,Ridge,randomCV,R2,0.43,0.35
25,Ridge,randomCV,MAE,113.47,21.91
26,Ridge,randomCV,RMSE,150.43,32.74
27,Ridge,randomCV_removed,R2,0.48,0.16
28,Ridge,randomCV_removed,MAE,90.26,12.15
29,Ridge,randomCV_removed,RMSE,113.89,12.76
30,Ridge,groupedCV,R2,-0.35,1.09
31,Ridge,groupedCV,MAE,144.04,59.56
32,Ridge,groupedCV,RMSE,184.53,88
33,Ridge,groupedCV_removed,R2,-0.01,0.91
34,Ridge,groupedCV_removed,MAE,100.51,27.36
35,Ridge,groupedCV_removed,RMSE,122.97,26.65
36,Lasso,trainTest,R2,0.6,0
37,Lasso,trainTest,MAE,122.41,0
