,Model,Methodology,Metric,Mean,Std
0,LinearRegression,trainTest,R2,0.6,0.0
1,LinearRegression,trainTest,MAE,122.72,0.0
2,LinearRegression,trainTest,RMSE,178.46,0.0
3,LinearRegression,trainTest_removed,R2,0.49,0.0
4,LinearRegression,trainTest_removed,MAE,105.41,0.0
5,LinearRegression,trainTest_removed,RMSE,128.73,0.0
6,LinearRegression,randomCV,R2,0.43,0.38
7,LinearRegression,randomCV,MAE,113.41,22.17
8,LinearRegression,randomCV,RMSE,149.67,33.79
9,LinearRegression,randomCV_removed,R2,0.48,0.17
10,LinearRegression,randomCV_removed,MAE,90.05,13.46
11,LinearRegression,randomCV_removed,RMSE,114.05,13.03
12,LinearRegression,groupedCV,R2,-0.36,1.08
13,LinearRegression,groupedCV,MAE,144.75,59.56
14,LinearRegression,groupedCV,RMSE,184.73,85.36
15,LinearRegression,groupedCV_removed,R2,-0.0,0.81
16,LinearRegression,groupedCV_removed,MAE,100.44,27.89
17,LinearRegression,groupedCV_removed,RMSE,123.95,27.88
18,Ridge,trainTest,R2,0.59,0.0
19,Ridge,trainTest,MAE,121.56,0.0
20,Ridge,trainTest,RMSE,179.26,0.0
21,Ridge,trainTest_removed,R2,0.49,0.0
22,Ridge,trainTest_removed,MAE,105.41,0.0
23,Ridge,trainTest_removed,RMSE,128.73,0.0
24,Ridge,randomCV,R2,0.43,0.36
25,Ridge,randomCV,MAE,113.24,21.59
26,Ridge,randomCV,RMSE,150.19,32.66
27,Ridge,randomCV_removed,R2,0.48,0.17
28,Ridge,randomCV_removed,MAE,90.12,13.25
29,Ridge,randomCV_removed,RMSE,114.03,12.88
30,Ridge,groupedCV,R2,-0.43,1.06
31,Ridge,groupedCV,MAE,155.91,71.62
32,Ridge,groupedCV,RMSE,201.48,117.1
33,Ridge,groupedCV_removed,R2,-0.19,1.13
34,Ridge,groupedCV_removed,MAE,107.98,27.89
35,Ridge,groupedCV_removed,RMSE,136.18,28.95
36,Lasso,trainTest,R2,0.6,0.0
37,Lasso,trainTest,MAE,122.41,0.0
38,Lasso,trainTest,RMSE,178.29,0.0
39,Lasso,trainTest_removed,R2,0.49,0.0
40,Lasso,trainTest_removed,MAE,105.41,0.0
41,Lasso,trainTest_removed,RMSE,128.73,0.0
42,Lasso,randomCV,R2,0.43,0.36
43,Lasso,randomCV,MAE,112.98,21.48
44,Lasso,randomCV,RMSE,149.68,33.09
45,Lasso,randomCV_removed,R2,0.48,0.17
46,Lasso,randomCV_removed,MAE,89.91,13.09
47,Lasso,randomCV_removed,RMSE,113.88,12.98
48,Lasso,groupedCV,R2,-0.36,1.09
49,Lasso,groupedCV,MAE,144.59,60.95
50,Lasso,groupedCV,RMSE,185.36,89.44
51,Lasso,groupedCV_removed,R2,-0.0,0.88
52,Lasso,groupedCV_removed,MAE,100.54,28.03
53,Lasso,groupedCV_removed,RMSE,122.79,27.3
54,ElasticNet,trainTest,R2,0.59,0.0
55,ElasticNet,trainTest,MAE,121.47,0.0
56,ElasticNet,trainTest,RMSE,179.41,0.0
57,ElasticNet,trainTest_removed,R2,0.49,0.0
58,ElasticNet,trainTest_removed,MAE,105.41,0.0
59,ElasticNet,trainTest_removed,RMSE,128.73,0.0
60,ElasticNet,randomCV,R2,0.43,0.35
61,ElasticNet,randomCV,MAE,113.3,21.33
62,ElasticNet,randomCV,RMSE,150.6,32.24
63,ElasticNet,randomCV_removed,R2,0.48,0.17
64,ElasticNet,randomCV_removed,MAE,90.23,13.15
65,ElasticNet,randomCV_removed,RMSE,114.09,12.84
66,ElasticNet,groupedCV,R2,-0.44,1.02
67,ElasticNet,groupedCV,MAE,159.66,71.75
68,ElasticNet,groupedCV,RMSE,205.56,116.63
69,ElasticNet,groupedCV_removed,R2,-0.22,1.18
70,ElasticNet,groupedCV_removed,MAE,110.49,29.03
71,ElasticNet,groupedCV_removed,RMSE,138.29,30.98
72,SVR,trainTest,R2,0.76,0.0
73,SVR,trainTest,MAE,83.43,0.0
74,SVR,trainTest,RMSE,136.67,0.0
75,SVR,trainTest_removed,R2,-0.74,0.0
76,SVR,trainTest_removed,MAE,122.83,0.0
77,SVR,trainTest_removed,RMSE,237.55,0.0
78,SVR,randomCV,R2,0.49,0.27
79,SVR,randomCV,MAE,97.82,28.1
80,SVR,randomCV,RMSE,149.52,49.06
81,SVR,randomCV_removed,R2,0.53,0.15
82,SVR,randomCV_removed,MAE,76.97,15.96
83,SVR,randomCV_removed,RMSE,110.99,25.7
84,SVR,groupedCV,R2,-0.32,1.46
85,SVR,groupedCV,MAE,142.62,79.39
86,SVR,groupedCV,RMSE,192.03,127.27
87,SVR,groupedCV_removed,R2,-0.31,1.09
88,SVR,groupedCV_removed,MAE,113.72,31.89
89,SVR,groupedCV_removed,RMSE,146.75,44.92
90,GaussianProcessRegressor,trainTest,R2,0.78,0.0
91,GaussianProcessRegressor,trainTest,MAE,78.43,0.0
92,GaussianProcessRegressor,trainTest,RMSE,131.76,0.0
93,GaussianProcessRegressor,trainTest_removed,R2,0.85,0.0
94,GaussianProcessRegressor,trainTest_removed,MAE,52.12,0.0
95,GaussianProcessRegressor,trainTest_removed,RMSE,69.08,0.0
96,GaussianProcessRegressor,randomCV,R2,0.6,0.36
97,GaussianProcessRegressor,randomCV,MAE,82.64,46.4
98,GaussianProcessRegressor,randomCV,RMSE,117.6,59.74
99,GaussianProcessRegressor,randomCV_removed,R2,0.76,0.1
100,GaussianProcessRegressor,randomCV_removed,MAE,52.01,9.51
101,GaussianProcessRegressor,randomCV_removed,RMSE,77.39,16.6
102,GaussianProcessRegressor,groupedCV,R2,-0.46,1.53
103,GaussianProcessRegressor,groupedCV,MAE,151.96,70.86
104,GaussianProcessRegressor,groupedCV,RMSE,199.14,112.89
105,GaussianProcessRegressor,groupedCV_removed,R2,0.13,0.56
106,GaussianProcessRegressor,groupedCV_removed,MAE,100.13,29.44
107,GaussianProcessRegressor,groupedCV_removed,RMSE,123.08,32.66
108,RandomForestRegressor,trainTest,R2,0.88,0.0
109,RandomForestRegressor,trainTest,MAE,64.22,0.0
110,RandomForestRegressor,trainTest,RMSE,96.31,0.0
111,RandomForestRegressor,trainTest_removed,R2,0.81,0.0
112,RandomForestRegressor,trainTest_removed,MAE,62.14,0.0
113,RandomForestRegressor,trainTest_removed,RMSE,79.1,0.0
114,RandomForestRegressor,randomCV,R2,0.82,0.1
115,RandomForestRegressor,randomCV,MAE,59.18,11.12
116,RandomForestRegressor,randomCV,RMSE,83.51,16.36
117,RandomForestRegressor,randomCV_removed,R2,0.74,0.12
118,RandomForestRegressor,randomCV_removed,MAE,55.66,9.85
119,RandomForestRegressor,randomCV_removed,RMSE,80.93,15.35
120,RandomForestRegressor,groupedCV,R2,0.25,0.49
121,RandomForestRegressor,groupedCV,MAE,113.02,53.56
122,RandomForestRegressor,groupedCV,RMSE,148.85,83.88
123,RandomForestRegressor,groupedCV_removed,R2,0.42,0.32
124,RandomForestRegressor,groupedCV_removed,MAE,87.46,27.12
125,RandomForestRegressor,groupedCV_removed,RMSE,107.26,35.18
126,XGBRegressor,trainTest,R2,0.88,0.0
127,XGBRegressor,trainTest,MAE,69.61,0.0
128,XGBRegressor,trainTest,RMSE,96.39,0.0
