,Model,Methodology,Metric,Mean,Std
0,VotingRegressor,trainTest,R2,0.84,0.0
1,VotingRegressor,trainTest,MAE,77.19,0.0
2,VotingRegressor,trainTest,RMSE,111.9,0.0
3,VotingRegressor,trainTest_removed,R2,0.82,0.0
4,VotingRegressor,trainTest_removed,MAE,58.3,0.0
5,VotingRegressor,trainTest_removed,RMSE,75.61,0.0
6,VotingRegressor,randomCV,R2,0.81,0.11
7,VotingRegressor,randomCV,MAE,66.04,12.61
8,VotingRegressor,randomCV,RMSE,88.88,18.0
9,VotingRegressor,randomCV_removed,R2,0.76,0.09
10,VotingRegressor,randomCV_removed,MAE,57.91,9.93
11,VotingRegressor,randomCV_removed,RMSE,77.44,13.19
12,VotingRegressor,groupedCV,R2,0.28,0.44
13,VotingRegressor,groupedCV,MAE,111.29,60.85
14,VotingRegressor,groupedCV,RMSE,147.5,96.38
15,VotingRegressor,groupedCV_removed,R2,0.43,0.3
16,VotingRegressor,groupedCV_removed,MAE,84.36,28.23
17,VotingRegressor,groupedCV_removed,RMSE,104.21,30.24
